id,name,address,current_city,here_suburb,here_city,here_state,here_postal,here_country_code,proposed_city
8e432b37-8e01-4a98-bc66-f7f7f055cdbe,"5Sports Caringbah","125 The Boulevard, Caringbah NSW 2229","125 The Boulevard","Caringbah","Sydney","NSW","2229","AUS","Caringbah"
be04d3f2-73b8-4367-ba4e-729e04c762ce,"Action Indoor Sports – Box Hill","9 Leslie St, Box Hill VIC","9 Leslie St","Brunswick","Melbourne","VIC","3056","AUS","Brunswick"
883c2a9c-d74b-4944-b4e7-89de0b985baf,"Action Indoor Sports – Tullamarine","5/62 Garden Dr, Tullamarine VIC","5/62 Garden Dr","Tullamarine","Melbourne","VIC","3043","AUS","Tullamarine"
d214d69c-7651-4603-9de5-d8b1d0573a15,"Albert Park Tennis & Pickleball Centre (Hockey Drive)","Hockey Dr (off Fitzroy St), Albert Park VIC","Hockey Dr (off Fitzroy St)","Albert Park","Melbourne","VIC","3182","AUS","Albert Park"
490e6c2c-7329-471c-bcf9-0ea8d8e54d7f,"Albert Reserve Tennis Centre","46 Queens Rd (Hanna St), Melbourne VIC 3004","46 Queens Rd (Hanna St)","Albert Park","Melbourne","VIC","3004","AUS","Albert Park"
c294b388-303f-4f04-939b-4a4bbeeb564c,"Albert Reserve Tennis Centre (Tennis World)","46 Queens Rd, Melbourne VIC 3004","46 Queens Rd","Albert Park","Melbourne","VIC","3004","AUS","Albert Park"
cb8b277e-a81d-45cc-881d-fbc5c532833d,"Alexander Park Tennis Club","Clyde Road, Menora WA 6050","Clyde Road","Menora","Perth","WA","6050","AUS","Menora"
a2b009e5-5fd4-45d9-86a9-e515c09a2fb7,"Allan Small Park Courts (KRG)","Cnr Rosedale Rd & Quarry St, Pymble NSW 2073","Cnr Rosedale Rd & Quarry St","Pymble","Sydney","NSW","2073","AUS","Pymble"
bd628b75-c46d-47a2-b112-9efe6d56a8de,"Ambiwerra Tennis Centre","Cnr Erinvale St & Rolfe St, Corinda QLD 4075","Cnr Erinvale St & Rolfe St","Corinda","Brisbane","QLD","4075","AUS","Corinda"
eded064c-0e93-47c5-9c5e-87e91ad7b947,"Ballarat Lawn Tennis Club","Prince of Wales Park, Gillies St N, Ballarat VIC 3355","Gillies St N","Lake Gardens","Ballarat","VIC","3355","AUS","Lake Gardens"
f48a9ba7-bd37-4239-aace-d401722f99f8,"Ballarat Lawn Tennis Club","Prince of Wales Park, Gillies St North, Ballarat VIC 3350","Gillies St North","Lake Gardens","Ballarat","VIC","3355","AUS","Lake Gardens"
f530532d-c57e-4a12-ba5f-24a4510418ad,"Ballarat Regional Tennis Centre","Dowling St, Wendouree VIC 3355","Dowling St","Wendouree","Ballarat","VIC","3355","AUS","Wendouree"
ab254c46-35f3-40bd-971e-3d302ce558d1,"Ballarat Regional Tennis Centre","497 Dowling St, Wendouree VIC 3355","497 Dowling St","Wendouree","Ballarat","VIC","3355","AUS","Wendouree"
7bb9c22c-4212-4e3d-8071-418f9e7f0815,"Bathurst Street Park Tennis (Greystanes)","Bathurst St Park, Greystanes NSW 2145","Bathurst St Park","Greystanes","Sydney","NSW","2145","AUS","Greystanes"
10fe2083-c0c3-48b7-be22-a8649a0e8902,"Bendigo Regional Tennis Centre","21–26 Nolan St, Bendigo VIC 3550","21–26 Nolan St","Bendigo","Bendigo","VIC","3550","AUS","Bendigo"
ce351a8e-a210-4ee8-9981-239ba5fdc480,"Bendigo Regional Tennis Centre","21 Nolan St, Bendigo VIC 3550","21 Nolan St","Bendigo","Bendigo","VIC","3550","AUS","Bendigo"
116f3e7e-bae9-4c22-8b8a-070919db4f45,"Bexley Tennis Courts","369E Bexley Rd, Bexley NSW 2207","369E Bexley Rd","Bexley","Sydney","NSW","2207","AUS","Bexley"
389dd1af-7ecf-49f9-9fba-84ebbb7d756b,"Binalong Park Tennis Courts (Old Toongabbie)","Binalong Rd, Old Toongabbie NSW 2146","Binalong Rd","Old Toongabbie","Sydney","NSW","2146","AUS","Old Toongabbie"
fa5257dc-b605-4465-af34-52c94aab94ff,"Birchgrove Tennis Centre","Cnr Louisa Rd & Rose St, Birchgrove NSW 2041","Cnr Louisa Rd & Rose St","Birchgrove","Sydney","NSW","2041","AUS","Birchgrove"
f23be1bd-055c-4338-b189-e13131a80850,"Blacktown Leisure Centre Stanhope","2 Sentry Drive, Stanhope Gardens NSW 2768","Stanhope Gardens","Stanhope Gardens","Sydney","NSW","2768","AUS","Stanhope Gardens"
f815ca3f-e5a6-4b58-bb28-f78473d15945,"Boroondara Tennis Centre","150 Bulleen Rd, Balwyn North VIC","150 Bulleen Rd","Bulleen","Melbourne","VIC","3105","AUS","Bulleen"
ca0b0b8f-6dad-499c-bd98-ef518dc1a1ee,"Bracken Ridge Tennis Centre","337 Bracken Ridge Rd, Bracken Ridge QLD 4017","337 Bracken Ridge Rd","Bracken Ridge","Brisbane","QLD","4017","AUS","Bracken Ridge"
ad182796-4e2e-46dc-89a2-311b9b977dab,"Brisbane City Indoor Sports","8 Castlemaine St, Coorparoo QLD 4151","8 Castlemaine St","Coorparoo","Brisbane","QLD","4151","AUS","Coorparoo"
a67013c3-e425-49bc-8476-28e328ca703a,"Brisbane West Indoor Sports (Darra)","27 Bellwood St, Darra QLD 4076","27 Bellwood St","Darra","Brisbane","QLD","4076","AUS","Darra"
7eb76fea-3a04-4aef-add9-d078d6bc8470,"Brooklyn Tennis Club","Cypress Ave, Brooklyn VIC 3012","Cypress Ave","Brooklyn","Melbourne","VIC","3012","AUS","Brooklyn"
15526c25-b63f-403c-ae82-085b411162a4,"Cambridge New Soccer Ground","Cambridge Rd, Cambridge TAS 7170","Cambridge Rd","Cambridge","Cambridge","TAS","7170","AUS","Cambridge"
8af96e4d-18d3-4842-9ffb-3eb93802c70c,"Caulfield Park Tennis Centre","280 Balaclava Rd, Caulfield North VIC 3161","280 Balaclava Rd","Caulfield North","Melbourne","VIC","3161","AUS","Caulfield North"
54a1bcb0-810e-4ce5-bc33-62ece366ae4c,"Centennial Parklands Sports Centre – All‑Weather Field","Parkes Dr, Moore Park NSW 2021","Parkes Dr","Centennial Park","Sydney","NSW","2021","AUS","Centennial Park"
55259137-7333-4a42-ab59-1f67c1847e6a,"Centennial Parklands Tennis (Moore Park)","Cnr Anzac Pde & Lang Rd, Moore Park NSW 2021","Cnr Anzac Pde & Lang Rd","Moore Park","Sydney","NSW","2021","AUS","Moore Park"
c90fb808-6370-410a-b8c9-fb4c1f79a674,"City of Stirling - Hamersley Sports Court","Belvedere Road, Hamersley WA 6022","Belvedere Road","Hamersley","Perth","WA","6022","AUS","Hamersley"
10436eaf-3167-4f13-a7d4-f14cb2ec8fc9,"Civic Park Tennis (Pendle Hill)","Targo Rd, Pendle Hill NSW 2145","Targo Rd","Pendle Hill","Sydney","NSW","2145","AUS","Pendle Hill"
0d664e24-99a4-488d-b42d-175d9c8f13d7,"Clare Street Oval (New Town)","Clare St, New Town TAS 7008","Clare St","New Town","Hobart","TAS","7008","AUS","New Town"
50032483-a2bb-4312-a627-ded73aa56bb5,"Clarence Sports Centre (NFSRA)","20 Loinah Cres, Montagu Bay TAS 7018","20 Loinah Cres","Montagu Bay","Hobart","TAS","7018","AUS","Montagu Bay"
ac5ca73a-28d7-4caf-b8a4-ae7a0d246091,"Clifton Hill Tennis Club – Pickleball Sessions","2 Hoddle St, Clifton Hill VIC","2 Hoddle St","Abbotsford","Melbourne","VIC","3067","AUS","Abbotsford"
e0223553-ffd1-478d-add8-9dfd345c61d0,"Club Marconi – Pickleball","121–133 Prairie Vale Rd, Bossley Park NSW 2176","121–133 Prairie Vale Rd","Bossley Park","Sydney","NSW","2176","AUS","Bossley Park"
596b8ddd-c24b-4814-849c-3464e95e4fe7,"Collaroy Tennis Club","Collaroy Plateau Park, Veterans Parade, Collaroy Plateau NSW 2097","Collaroy Plateau","Collaroy Plateau","Sydney","NSW","2097","AUS","Collaroy Plateau"
4d7974ba-3a7f-4e24-8af9-0ce453021b60,"Cooper Park Tennis","Bellevue Rd, Bellevue Hill NSW 2023","Bellevue Rd","Bellevue Hill","Sydney","NSW","2023","AUS","Bellevue Hill"
13f60668-ff8f-4166-a87a-d343255aab8d,"Croker Park Tennis Courts (Five Dock)","1C Henley Marine Dr, Five Dock NSW 2046","1C Henley Marine Dr","Five Dock","Sydney","NSW","2046","AUS","Five Dock"
c76a5bab-830f-4e22-b153-63248d39afa8,"Croydon Tennis Centre","128-132 Frances St, Lidcombe NSW 2141","128-132 Frances St","Lidcombe","Sydney","NSW","2141","AUS","Lidcombe"
bb2071a0-0387-41d4-9ecc-ff75875c2bff,"Dalkeith Tennis Club","Cnr Victoria Ave and Beatrice Road, Dalkeith WA 6009","Cnr Victoria Ave and Beatrice Road","Dalkeith","Perth","WA","6009","AUS","Dalkeith"
2229967a-3bba-4ff6-9788-a5dcd09a5428,"Darebin State Football Centre (DISC)","281 Darebin Rd (DISC), Thornbury VIC","281 Darebin Rd (DISC)","Thornbury","Melbourne","VIC","3071","AUS","Thornbury"
9c4987fe-c790-432a-8ef1-7f0df51912d0,"Dirrabarri Tennis Courts (Pemulwuy)","Cnr Watkin Tench Pde & Driftway Dr, Pemulwuy NSW 2145","Cnr Watkin Tench Pde & Driftway Dr","Pemulwuy","Sydney","NSW","2145","AUS","Pemulwuy"
f1d22f3b-51d8-4168-8a3e-e841459b8ec7,"Docklands Sports Courts","68–90 Harbour Esplanade, Docklands VIC","68–90 Harbour Esplanade","Docklands","Melbourne","VIC","3008","AUS","Docklands"
3b72de1c-f8c9-4e0e-9032-a1c58356da0b,"Domain Tennis Centre","2 Davies Ave, Glebe TAS 7000","2 Davies Ave","Queens Domain","Hobart","TAS","7000","AUS","Queens Domain"
cf07a2c0-213c-4407-925d-2e604243f8f0,"East Preston Park Tennis Club","46 Newton St (T.A. Cochrane Reserve), Preston VIC","46 Newton St (T.A. Cochrane Reserve)","Preston","Melbourne","VIC","3072","AUS","Preston"
5a51975c-8972-4607-a521-af01bf0ee7c0,"Edgeworth Street Soccer Grounds","Corner Edgeworth & Bligh St, Warrane TAS 7018","Corner Edgeworth & Bligh St","","","","","","Corner Edgeworth & Bligh St"
b1dec29f-b73c-42d5-a843-03b43408f174,"Elsternwick Park Tennis & Pickleball Centre","464 St Kilda St, Brighton VIC","464 St Kilda St","Brighton","Melbourne","VIC","3186","AUS","Brighton"
1adbe3d0-e85c-487f-9e48-c44eb732cf75,"Essendon Tennis Club","Clifton Park Reserve, Batman St, Essendon VIC 3040","Batman St","Aberfeldie","Melbourne","VIC","3040","AUS","Aberfeldie"
c407d17f-7d68-41c1-affc-56adee3040f4,"Fawkner Park Tennis Centre","65 Toorak Rd West, South Yarra VIC 3141","65 Toorak Rd West","South Yarra","Melbourne","VIC","3141","AUS","South Yarra"
a4bf29c0-7ff3-4016-9040-fb32422743da,"Flagstaff Gardens Tennis Courts","309–311 William St, West Melbourne VIC","309–311 William St","West Melbourne","Melbourne","VIC","3003","AUS","West Melbourne"
4e089fb2-e0ce-4da1-9235-4f29062bf12b,"Football Queensland - Meakin Park","187 Meakin Rd, Slacks Creek QLD 4127","187 Meakin Rd","Slacks Creek","Brisbane","QLD","4127","AUS","Slacks Creek"
b64945c6-8ceb-4bdf-b1a9-01942d26399f,"Football Queensland - Nudgee Recreation Reserve","290 Elliott Rd, Nudgee QLD 4014","290 Elliott Rd","Banyo","Brisbane","QLD","4014","AUS","Banyo"
44f180b9-7ae3-4088-a02a-885fbad10df5,"Fraser Fives – Sydney Portugal Community Club","100 Marrickville Rd, Marrickville NSW 2204","100 Marrickville Rd","Marrickville","Sydney","NSW","2204","AUS","Marrickville"
44835621-d789-4e68-8196-396f0745fa76,"Futsal Oz – Brunswick","407–409 Victoria St, Brunswick VIC","407–409 Victoria St","Brunswick","Melbourne","VIC","3056","AUS","Brunswick"
63e11f27-a8bd-4f3a-a80a-800975cd9094,"Futsal Oz – Mt Evelyn","42 Kirkbrae Ave, Mount Evelyn VIC","42 Kirkbrae Ave","Mount Evelyn","Melbourne","VIC","3796","AUS","Mount Evelyn"
9ae6cf37-d59f-449b-bf7c-b622e5a1eff4,"Futsal Oz – Thomastown","391 Settlement Rd, Thomastown VIC","391 Settlement Rd","Thomastown","Melbourne","VIC","3074","AUS","Thomastown"
693799e4-da96-4d0f-a68a-82554705a997,"Geilston Bay Tennis Club","De Bomfords Ln, Geilston Bay TAS 7015","De Bomfords Ln","Geilston Bay","Hobart","TAS","7015","AUS","Geilston Bay"
0eec7d6a-b268-48eb-895b-578b8ac20b1c,"Gordon Recreation Ground Courts (KRG)","Werona Ave, Gordon NSW 2072","Werona Ave","Gordon","Sydney","NSW","2072","AUS","Gordon"
8abeb468-e533-4d76-b965-c303382a63eb,"Government House Tasmania Tennis Courts","7 Lower Domain Rd, Hobart TAS 7000","7 Lower Domain Rd","Queens Domain","Hobart","TAS","7000","AUS","Queens Domain"
79c7ece6-b303-4086-a0ca-a25b86c4388b,"Greystanes Sportsground Tennis","Merrylands Rd, Greystanes NSW 2145","Merrylands Rd","Greystanes","Sydney","NSW","2145","AUS","Greystanes"
c35ece08-76a3-459b-8e3c-39022ed45c1f,"Gunyama Park Synthetic Sportsfield (Zetland)","17 Zetland Ave, Zetland NSW 2017","17 Zetland Ave","Zetland","Sydney","NSW","2017","AUS","Zetland"
5088d962-cb98-4390-a4cd-718dba4ab70e,"Haberfield Tennis Centre “The Ark” – Pickleball","154A Hawthorne Pde, Haberfield NSW 2045","154A Hawthorne Pde","Haberfield","Sydney","NSW","2045","AUS","Haberfield"
0907731b-3713-49c1-83e5-5ed412cd4d9a,"Hamlyn Park Tennis Club (Geelong)","22 Carey St, Hamlyn Heights VIC 3215","22 Carey St","Hamlyn Heights","Geelong","VIC","3215","AUS","Hamlyn Heights"
4f4688f4-ca25-4585-badc-efb9cfc4fef2,"Hamlyn Park Tennis Club (Geelong)","Hamlyn Park, Calvert St, Hamlyn Heights VIC 3215","Calvert St","Hamlyn Heights","Geelong","VIC","3215","AUS","Hamlyn Heights"
96699c20-ff9a-4287-8001-11d4c6c564c7,"Hampton Tennis Club","5 Grenville St, Hampton VIC 3188","5 Grenville St","Hampton","Melbourne","VIC","3188","AUS","Hampton"
de74e290-b928-464c-9a3c-85a0174a9ec2,"Heffron Park Tennis Centre (Matraville)","417–439 Bunnerong Rd, Matraville NSW 2036","417–439 Bunnerong Rd","Maroubra","Sydney","NSW","2035","AUS","Maroubra"
fcd9bd4c-219f-4dfc-8595-1db9e5979358,"Henley Park Synthetic Field (Enfield)","Shelley St, Enfield NSW 2136","Shelley St","Enfield","Sydney","NSW","2136","AUS","Enfield"
881f8641-bf4b-4750-9d93-876f78acc09d,"Home of the Matildas – State Football Centre","La Trobe Sports Precinct (Sports Dr), Bundoora VIC","La Trobe Sports Precinct (Sports Dr)","Bundoora","Melbourne","VIC","3083","AUS","Bundoora"
f46be433-fb8e-4179-a933-81fbb09c0292,"Hume Tennis & Community Centre","225 Marathon Blvd, Craigieburn VIC 3064","225 Marathon Blvd","Craigieburn","Melbourne","VIC","3064","AUS","Craigieburn"
f651e29d-4c84-4491-88e5-d24e7921a767,"Hume Tennis & Community Centre (Craigieburn)","225 Marathon Blvd (cnr Newbury Blvd), Craigieburn VIC 3064","225 Marathon Blvd (cnr Newbury Blvd)","Craigieburn","Melbourne","VIC","3064","AUS","Craigieburn"
0f2bdbb5-9ee1-4abc-954a-ab087875e19a,"Hunters Hill Club – Tennis","12–20 Madeline St, Hunters Hill NSW 2110","12–20 Madeline St","Hunters Hill","Sydney","NSW","2110","AUS","Hunters Hill"
defbb381-3272-404b-a425-cf1cff609553,"Huon Valley PCYC","40 Wilmot Rd, Huonville TAS 7109","40 Wilmot Rd","Huonville","Huonville","TAS","7109","AUS","Huonville"
70587886-c0b5-426c-9b28-30d60605f3be,"Illawarra Tennis Centre (Rockdale)","89A Wolseley St, Bexley NSW 2207","89A Wolseley St","Bexley","Sydney","NSW","2207","AUS","Bexley"
5dc8ce91-e935-4278-8186-d9a4ce9fcec5,"InDeep Tennis (Darlinghurst)","1A Barcom Ave, Darlinghurst NSW 2010","1A Barcom Ave","Darlinghurst","Sydney","NSW","2010","AUS","Darlinghurst"
c2f2b73a-2011-4216-9cc3-37ed7f4de749,"Infinity Tennis (Chandler)","773 Boston Rd, Chandler QLD 4155","773 Boston Rd","Chandler","Brisbane","QLD","4155","AUS","Chandler"
4e801f6c-c72b-48c5-8901-118c3a3a1bdc,"Island Bay Tennis & Squash Club","2 The Parade, Island Bay","2 The Parade","Island Bay","Wellington","Wellington","6023","NZL","Island Bay"
f307a254-2549-4e71-a941-f1d1839db4f3,"John Cain Memorial Park Courts","281 Clarendon St (John Cain Park), Thornbury VIC","281 Clarendon St (John Cain Park)","Thornbury","Melbourne","VIC","3071","AUS","Thornbury"
9ba81d3f-3835-450b-b4a1-e66cb0908ed7,"Keirle Park Tennis Centre (Manly)","277 Pittwater Rd, Manly NSW 2095","277 Pittwater Rd","Manly","Sydney","NSW","2095","AUS","Manly"
a6a9d757-a465-49ba-8706-b0202fd1d76c,"Kendall Village Green Courts (KRG)","Kendall St, West Pymble NSW 2073","Kendall St","West Pymble","Sydney","NSW","2073","AUS","West Pymble"
829a50b9-e831-4d14-acff-5fe454e6b7b6,"Keon Park Tennis Club","80 Hickford St (J.C. Donath Reserve), Reservoir VIC","80 Hickford St (J.C. Donath Reserve)","Reservoir","Melbourne","VIC","3073","AUS","Reservoir"
ebeb0881-50d2-4de8-8f6e-bb409d2c8529,"KGV Recreation Centre – Futsal","15 Cumberland St, The Rocks NSW 2000","15 Cumberland St","The Rocks","Sydney","NSW","2000","AUS","The Rocks"
95465e32-7e4d-495b-a2f7-65b0565143d9,"KGV Recreation Centre – Pickleball","15 Cumberland St, The Rocks NSW 2000","15 Cumberland St","The Rocks","Sydney","NSW","2000","AUS","The Rocks"
06cee560-5ed1-4700-9ab0-871044759200,"Kialla Park Old Students Tennis Club","Kialla Park Recreation Reserve, Reserve St, Kialla VIC 3631","Reserve St","Kialla","Kialla","VIC","3631","AUS","Kialla"
4bf224dd-e8b6-418b-b55b-436fe5e89c26,"Kialla Park Tennis Club","Kialla Park Recreation Reserve, Reserve St, Kialla VIC 3631","Reserve St","Kialla","Kialla","VIC","3631","AUS","Kialla"
ca449a41-6afc-4fea-bb81-87a31efdb46c,"KIKOFF Harbord (Brookvale)","187 Harbord Rd, Brookvale NSW 2100","187 Harbord Rd","Brookvale","Sydney","NSW","2100","AUS","Brookvale"
f0881716-1337-4ef4-9bc1-fa525a37fb6e,"KIKOFF Lakemba","576A Punchbowl Rd, Lakemba NSW 2195","576A Punchbowl Rd","Lakemba","Sydney","NSW","2195","AUS","Lakemba"
95baa2c4-ff77-4ff5-b60f-3e4c2fd48d56,"Killara Park Tennis Courts (KRG)","Rosebery Rd, Killara NSW 2071","Rosebery Rd","Killara","Sydney","NSW","2071","AUS","Killara"
7ba5b69a-bdb9-4dd4-bb36-7a524fcc5b12,"Kingsbury Tennis Club","1C Browning St (KW Joyce Reserve), Kingsbury VIC","1C Browning St (KW Joyce Reserve)","Kingsbury","Melbourne","VIC","3083","AUS","Kingsbury"
a1c220fa-aaa7-4312-8daa-26283a2179cf,"Kingston Beach Oval","Recreation St, Kingston TAS 7050","Recreation St","Kingston Beach","Kingston","TAS","7050","AUS","Kingston Beach"
9188f4b2-ae22-4049-b160-d447e687f31a,"Kingston Pickleball Centre","38/107 Wells Rd, Chelsea Heights VIC","38/107 Wells Rd","Chelsea Heights","Melbourne","VIC","3196","AUS","Chelsea Heights"
a77e02f4-636f-4f8d-9ec9-890e20dcf11c,"Kingston Tennis Club","Kingston View Dr, Kingston TAS 7051","Kingston View Dr","Kingston","Kingston","TAS","7050","AUS","Kingston"
46dfd6ce-878f-4727-9663-519b5ca1d475,"Knox Regional Football Centre","291 George St, Wantirna South VIC","291 George St","Wantirna South","Melbourne","VIC","3152","AUS","Wantirna South"
dfa1d5fd-bab9-48a7-9230-4a34242abfd5,"KTP Sports Centre (East Hills) – Tennis","Sutar Ave, East Hills NSW 2213","Sutar Ave","East Hills","Sydney","NSW","2213","AUS","East Hills"
fdd0d086-7db4-4d16-a53b-dbfddd8dafe0,"KTP Sports Centre (Panania) – Tennis","Marco Ave, Panania NSW 2213","Marco Ave","Panania","Sydney","NSW","2213","AUS","Panania"
2cdf9713-c0e4-4ddb-aed2-ce7c8039b4b6,"Lane Cove Tennis Club","Central Park, Kenneth St, Longueville NSW 2066","Kenneth St","Longueville","Sydney","NSW","2066","AUS","Longueville"
1bc2e10d-f922-4ac5-9c49-7bf64a084baa,"Lane Cove West Tennis Club","Lloyd Rees Dr, Lane Cove West NSW 2066","Lloyd Rees Dr","Lane Cove West","Sydney","NSW","2066","AUS","Lane Cove West"
ac88eda7-930f-40a0-9ce5-f0e27fed776c,"Latham Park Tennis Centre (South Coogee)","Henning Ave, South Coogee NSW 2034","Henning Ave","South Coogee","Sydney","NSW","2034","AUS","South Coogee"
169b16fe-e434-41e5-9bda-8bf7fd2c9baa,"Lawson Square Park Tennis Courts (Merrylands)","Price St, Merrylands NSW 2160","Price St","Merrylands","Sydney","NSW","2160","AUS","Merrylands"
cdf07ecd-9d75-467f-8b0e-0748ec4bdc60,"Level Up Pickleball","Westfield Knox (425 Burwood Hwy), Wantirna South VIC","Westfield Knox (425 Burwood Hwy)","Wantirna South","Melbourne","VIC","3152","AUS","Wantirna South"
8d4b6b98-ec29-4e19-a704-9954e2a1b31d,"Lightwood Park Complex (Grounds 1","2 & 3)","2 & 3)","Futuro Nogalar","San Nicolás de los Garza","NL","66484","MEX","Futuro Nogalar"
